Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Product Manager,Telecommunications,Small,Paris,Medium,Low,Project Management,83940.88924031366,0,Stable
HR Manager,Transportation,Small,Dubai,High,High,Data Analysis,101601.06496896285,0,Stable
Operations Manager,Entertainment,Small,Berlin,Medium,Medium,JavaScript,110221.52915102156,0,Stable
Sales Manager,Tech0logy,Large,Toronto,High,Medium,Project Management,60216.99766476808,0,Growth
AI Researcher,Transportation,Medium,Paris,Low,High,Python,110298.37964910315,1,Decline
Data Scientist,Education,Small,San Francisco,High,Low,Project Management,90129.58968441433,1,Growth
Sales Manager,Telecommunications,Large,Toronto,Medium,Low,Data Analysis,117056.82349386545,0,Stable
HR Manager,Entertainment,Large,Tokyo,Low,Medium,Cybersecurity,85897.03542004264,1,Stable
Data Scientist,Tech0logy,Large,Tokyo,High,Medium,Sales,80591.82214937158,0,Decline
Marketing Specialist,Retail,Medium,Sydney,High,Low,UX/UI Design,90541.08081377903,0,Growth
Sales Manager,Entertainment,Small,Singapore,High,High,Cybersecurity,92037.21412759706,0,Stable
Cybersecurity Analyst,Retail,Large,Sydney,Medium,Medium,Communication,76744.30397016529,1,Decline
Data Scientist,Telecommunications,Medium,Dubai,Medium,Low,Project Management,80073.90538089433,0,Stable
HR Manager,Finance,Medium,Toronto,High,Medium,Machine Learning,65462.48930972422,0,Decline
Software Engineer,Entertainment,Medium,Singapore,Low,High,Marketing,81307.09820419611,1,Decline
Operations Manager,Healthcare,Large,Berlin,Low,Low,Machine Learning,103526.20119995158,1,Growth
UX Designer,Retail,Small,San Francisco,Medium,Medium,Cybersecurity,87252.91652187712,1,Stable
Product Manager,Education,Large,Toronto,Low,High,Machine Learning,110181.30592094656,1,Growth
UX Designer,Healthcare,Large,Sydney,Medium,Medium,Python,86291.41064693853,0,Stable
HR Manager,Energy,Small,New York,High,High,Machine Learning,61369.64004553371,1,Growth
AI Researcher,Energy,Small,Singapore,Medium,High,JavaScript,101945.49775113165,0,Stable
AI Researcher,Tech0logy,Small,Singapore,Medium,Low,Sales,76527.53717933195,1,Growth
Software Engineer,Finance,Medium,San Francisco,High,High,Project Management,85332.65422472931,1,Decline
Product Manager,Telecommunications,Small,London,Low,Medium,Machine Learning,114751.44094968235,1,Stable
Cybersecurity Analyst,Entertainment,Large,Tokyo,Medium,High,Data Analysis,66782.59080556972,1,Stable
Software Engineer,Manufacturing,Small,Tokyo,Medium,High,Sales,93294.87575,1,Decline
UX Designer,Education,Large,New York,High,Low,Sales,89189.63299928416,1,Growth
Software Engineer,Retail,Medium,Dubai,Low,High,Machine Learning,104018.51430874206,0,Stable
UX Designer,Telecommunications,Large,Dubai,Medium,High,Sales,107103.06730964045,1,Stable
Data Scientist,Healthcare,Large,Berlin,High,Medium,Marketing,95276.78008497784,1,Growth
AI Researcher,Energy,Small,Toronto,Medium,Low,Machine Learning,82792.50707,1,Decline
Data Scientist,Education,Small,Paris,High,Low,Python,99467.45008051921,1,Growth
Operations Manager,Manufacturing,Large,London,Low,Low,Cybersecurity,116713.11794289124,0,Growth
Product Manager,Entertainment,Small,Sydney,Low,High,JavaScript,89454.20120720599,1,Growth
Cybersecurity Analyst,Tech0logy,Medium,Paris,Low,Low,UX/UI Design,84654.87771153946,1,Stable
UX Designer,Manufacturing,Medium,Paris,Low,High,Communication,97763.40515335981,1,Decline
Cybersecurity Analyst,Education,Small,Singapore,Medium,High,Sales,90774.54040739224,1,Decline
UX Designer,Manufacturing,Medium,New York,Medium,Medium,Python,63245.81152164402,0,Growth
HR Manager,Education,Small,Tokyo,Low,Medium,Project Management,94786.61600794963,1,Stable
Software Engineer,Education,Large,Berlin,Low,Medium,Project Management,63064.75182472472,0,Growth
Operations Manager,Transportation,Large,Dubai,Low,Medium,Communication,97489.61293,1,Stable
AI Researcher,Retail,Medium,New York,Medium,Medium,JavaScript,74057.14551186866,0,Stable
UX Designer,Energy,Small,Singapore,Low,High,Sales,90737.49608372692,0,Stable
Cybersecurity Analyst,Transportation,Small,Sydney,Low,High,Marketing,97811.87812398473,1,Stable
Operations Manager,Entertainment,Medium,Berlin,Low,Low,Communication,139078.06691887142,1,Decline
Marketing Specialist,Transportation,Large,Singapore,High,High,JavaScript,104854.99923573849,0,Stable
Marketing Specialist,Finance,Medium,Tokyo,Low,High,Sales,117295.97619484669,0,Stable
Data Scientist,Finance,Large,Tokyo,High,Medium,Python,127434.9563738785,1,Growth
AI Researcher,Energy,Small,Tokyo,High,High,Cybersecurity,99785.11834,0,Growth
HR Manager,Manufacturing,Large,New York,Low,Medium,Marketing,95713.79600534399,0,Decline
Cybersecurity Analyst,Retail,Medium,New York,High,Low,UX/UI Design,68665.57782347569,0,Growth
Software Engineer,Energy,Small,Dubai,Low,Low,Project Management,87667.40135199211,1,Stable
Software Engineer,Education,Medium,Dubai,Medium,High,Data Analysis,75538.24540728275,0,Growth
Cybersecurity Analyst,Healthcare,Medium,Sydney,Medium,Low,Python,81978.82299751228,0,Decline
Product Manager,Retail,Large,Berlin,Medium,High,Project Management,127413.26752384937,0,Growth
HR Manager,Retail,Medium,San Francisco,Medium,Low,Machine Learning,92292.43018,1,Growth
Operations Manager,Education,Large,San Francisco,High,Medium,Data Analysis,72482.00844567783,1,Decline
UX Designer,Education,Small,Singapore,Low,Medium,Project Management,117490.66909382609,0,Decline
Product Manager,Tech0logy,Large,Tokyo,Low,Medium,JavaScript,109105.50952474898,1,Stable
UX Designer,Energy,Small,Berlin,Low,Medium,Marketing,110153.06985200793,0,Growth
UX Designer,Education,Large,Paris,Medium,High,Project Management,49877.395937952104,1,Stable
Product Manager,Finance,Medium,New York,Medium,Low,UX/UI Design,128973.41915442972,1,Growth
Data Scientist,Entertainment,Large,Toronto,Low,High,Cybersecurity,78829.70515812226,0,Growth
Marketing Specialist,Healthcare,Large,London,Medium,Medium,JavaScript,105559.0954558551,1,Stable
UX Designer,Energy,Small,Sydney,Low,High,Python,140475.99581234064,1,Growth
Product Manager,Telecommunications,Medium,Tokyo,Low,Low,Python,133106.65496381235,1,Growth
Product Manager,Finance,Large,Tokyo,Low,High,Python,70448.75749054627,0,Growth
Sales Manager,Manufacturing,Medium,Tokyo,Low,Low,Python,61109.65325995454,1,Decline
Data Scientist,Education,Large,New York,Low,High,Cybersecurity,118606.93197695856,1,Stable
AI Researcher,Telecommunications,Large,New York,Low,Low,Project Management,92841.11623187999,0,Decline
Sales Manager,Education,Medium,London,Low,Low,Sales,79982.37117,1,Stable
Sales Manager,Retail,Large,Paris,Medium,Medium,Project Management,102424.37093878095,1,Stable
Cybersecurity Analyst,Finance,Medium,Berlin,Low,Low,Machine Learning,86742.40845081118,1,Growth
Marketing Specialist,Retail,Large,Tokyo,Low,Medium,Marketing,104026.48274097487,1,Stable
Product Manager,Tech0logy,Small,San Francisco,Medium,Medium,Data Analysis,91339.63615637466,1,Decline
Marketing Specialist,Retail,Medium,Dubai,Medium,Medium,Sales,104447.75856656334,0,Decline
HR Manager,Tech0logy,Large,San Francisco,Medium,High,Sales,72109.34621727222,0,Decline
Cybersecurity Analyst,Tech0logy,Large,Singapore,Low,High,Project Management,118489.24026265269,1,Stable
AI Researcher,Telecommunications,Small,San Francisco,High,High,Sales,103952.46741464877,1,Decline
Marketing Specialist,Education,Medium,Singapore,High,High,Communication,102925.94738807145,1,Stable
Software Engineer,Manufacturing,Large,Toronto,Medium,Low,Communication,67646.60145976013,0,Decline
UX Designer,Retail,Small,Dubai,High,Low,Machine Learning,123992.64833288494,0,Decline
HR Manager,Finance,Large,San Francisco,Medium,High,Data Analysis,89725.67801267463,1,Stable
Data Scientist,Tech0logy,Medium,Toronto,Low,Low,UX/UI Design,104560.97724859683,1,Decline
AI Researcher,Education,Large,Sydney,High,Low,Cybersecurity,83543.51072506783,0,Growth
HR Manager,Healthcare,Large,Berlin,Low,Medium,Project Management,95217.78129364195,1,Stable
UX Designer,Energy,Large,Toronto,High,Medium,Cybersecurity,95942.54704238809,0,Stable
Cybersecurity Analyst,Telecommunications,Large,Berlin,Low,Medium,UX/UI Design,33601.38135993158,0,Stable
UX Designer,Manufacturing,Small,San Francisco,High,Medium,Project Management,101648.96249309662,1,Growth
Sales Manager,Transportation,Small,Paris,Low,Low,Project Management,129306.82923444168,0,Stable
UX Designer,Telecommunications,Medium,Toronto,Low,High,Data Analysis,100795.60517983914,1,Decline
Sales Manager,Healthcare,Small,Dubai,High,Low,Cybersecurity,70845.83502220524,1,Decline
Cybersecurity Analyst,Energy,Small,San Francisco,Low,Low,Communication,102999.23132307774,1,Decline
Operations Manager,Healthcare,Medium,Tokyo,Low,Low,Python,111189.61060346678,1,Stable
Sales Manager,Retail,Small,New York,Low,Medium,Cybersecurity,100249.33032380774,1,Decline
Data Scientist,Tech0logy,Small,Toronto,High,Medium,Marketing,88517.45787139912,1,Stable
UX Designer,Manufacturing,Medium,Dubai,High,Medium,Marketing,85157.01548352139,0,Decline
UX Designer,Entertainment,Medium,Sydney,Low,High,Project Management,85073.80489266386,0,Growth
Data Scientist,Tech0logy,Medium,Tokyo,Low,Low,Python,103955.53802022425,0,Growth
Software Engineer,Entertainment,Large,Sydney,High,High,JavaScript,61857.520098807436,0,Growth
Product Manager,Energy,Large,San Francisco,High,Medium,UX/UI Design,82562.53678289187,1,Growth
Operations Manager,Education,Medium,New York,Low,High,Machine Learning,121912.19646021897,0,Stable
AI Researcher,Transportation,Medium,Toronto,Low,Low,Python,122683.90533154352,0,Decline
Sales Manager,Finance,Medium,Toronto,Low,Low,Machine Learning,60437.05824396676,0,Growth
Data Scientist,Tech0logy,Large,Paris,Medium,Medium,Cybersecurity,67371.72777472783,1,Stable
Cybersecurity Analyst,Manufacturing,Large,Paris,High,Medium,Cybersecurity,84587.58840944126,0,Growth
Sales Manager,Healthcare,Small,San Francisco,Medium,High,Machine Learning,107851.79034228704,1,Growth
Product Manager,Manufacturing,Small,San Francisco,High,Medium,UX/UI Design,53450.51291894019,0,Stable
Cybersecurity Analyst,Energy,Medium,New York,High,Medium,Python,88903.82730165044,1,Stable
HR Manager,Entertainment,Large,Paris,High,Low,JavaScript,80516.41687,1,Decline
UX Designer,Healthcare,Large,Dubai,High,Medium,Project Management,116519.29348570466,0,Decline
HR Manager,Finance,Large,Dubai,High,Medium,Data Analysis,56461.830520614916,1,Growth
Sales Manager,Finance,Medium,New York,High,Low,Cybersecurity,91850.81230987245,1,Growth
Product Manager,Tech0logy,Small,Dubai,High,Low,Marketing,82127.81125302812,0,Decline
Operations Manager,Energy,Medium,Singapore,Medium,High,UX/UI Design,119395.97852554577,0,Decline
Sales Manager,Education,Small,Berlin,Low,Medium,Data Analysis,101953.0529,0,Stable
Data Scientist,Energy,Small,New York,Low,Low,JavaScript,78283.68681,1,Decline
Marketing Specialist,Entertainment,Medium,New York,Medium,High,Sales,107067.72886658164,1,Decline
Sales Manager,Manufacturing,Small,London,Medium,High,Project Management,82223.42293382852,1,Growth
UX Designer,Finance,Small,Tokyo,Medium,Medium,Cybersecurity,109986.59422479507,0,Decline
UX Designer,Manufacturing,Large,Tokyo,Medium,Medium,Project Management,85258.46018228843,1,Growth
Sales Manager,Manufacturing,Small,Singapore,High,High,Data Analysis,111093.33157537527,1,Decline
Cybersecurity Analyst,Manufacturing,Medium,Paris,Low,Low,Project Management,98721.6391,1,Stable
Marketing Specialist,Finance,Medium,San Francisco,High,High,Sales,155209.82161382848,1,Decline
Data Scientist,Telecommunications,Small,San Francisco,Low,Medium,Data Analysis,88942.07989167991,1,Decline
Sales Manager,Retail,Large,Sydney,Low,Low,Cybersecurity,97657.24583242898,1,Decline
Cybersecurity Analyst,Entertainment,Large,Singapore,Medium,Low,Python,80411.50516568137,1,Growth
UX Designer,Telecommunications,Small,New York,High,High,Marketing,90053.70681509557,0,Stable
UX Designer,Entertainment,Small,Singapore,Medium,Medium,Data Analysis,35963.29731701118,0,Decline
Product Manager,Healthcare,Medium,Singapore,High,High,Communication,99311.68033082064,0,Growth
Sales Manager,Energy,Small,Singapore,Low,High,Sales,116857.48425898823,1,Stable
Marketing Specialist,Energy,Large,Tokyo,Medium,High,Data Analysis,97932.60009198709,1,Growth
Software Engineer,Transportation,Small,Singapore,Medium,Low,Data Analysis,63722.77084045245,0,Growth
Marketing Specialist,Energy,Medium,Berlin,Low,Low,Communication,73964.25694581997,1,Stable
UX Designer,Finance,Medium,San Francisco,Low,Medium,Cybersecurity,41396.15745687459,0,Decline
UX Designer,Education,Medium,Sydney,Low,Medium,Data Analysis,109578.48013730848,1,Growth
HR Manager,Tech0logy,Medium,Berlin,Medium,High,Marketing,69869.73415,1,Growth
UX Designer,Transportation,Medium,Sydney,High,High,Project Management,89425.82819575544,0,Decline
Data Scientist,Tech0logy,Small,London,Medium,High,Cybersecurity,86925.24855,0,Decline
AI Researcher,Entertainment,Small,Sydney,High,Medium,Marketing,119754.54071316533,0,Stable
Sales Manager,Tech0logy,Small,San Francisco,Medium,Low,Cybersecurity,91705.62635931477,0,Stable
Marketing Specialist,Tech0logy,Small,San Francisco,Medium,Low,Marketing,106177.8584021202,0,Stable
AI Researcher,Transportation,Medium,Singapore,Low,High,Sales,100929.27528295325,1,Decline
Cybersecurity Analyst,Healthcare,Large,Toronto,High,High,Marketing,117188.22839922798,1,Growth
Software Engineer,Manufacturing,Small,London,Medium,High,Machine Learning,85217.52610994082,1,Growth
Data Scientist,Energy,Large,New York,Medium,High,Marketing,127392.30661009034,0,Stable
Marketing Specialist,Energy,Small,Dubai,Low,Medium,Python,50286.75687,0,Decline
AI Researcher,Finance,Small,Sydney,Low,Low,Python,107149.46996002473,0,Growth
Software Engineer,Transportation,Large,Toronto,High,High,UX/UI Design,72667.60782671736,0,Stable
HR Manager,Finance,Medium,Singapore,Medium,Medium,Machine Learning,80145.00894440095,0,Growth
Data Scientist,Education,Small,Tokyo,High,High,Machine Learning,101388.28533802071,0,Growth
Data Scientist,Education,Small,New York,Medium,High,Project Management,101228.04099695486,1,Decline
HR Manager,Finance,Small,Paris,High,Low,Machine Learning,102128.56027380143,1,Decline
Sales Manager,Transportation,Large,Toronto,Low,High,Project Management,62276.84111789524,1,Growth
HR Manager,Finance,Medium,Tokyo,Medium,Low,UX/UI Design,118980.6046255848,1,Stable
Data Scientist,Energy,Large,London,High,Low,UX/UI Design,71987.05763544649,1,Decline
Data Scientist,Telecommunications,Large,Singapore,Low,Low,Sales,74654.25819549602,0,Growth
AI Researcher,Retail,Medium,New York,Low,Medium,Python,102757.93476333657,0,Decline
UX Designer,Tech0logy,Large,New York,High,Medium,Marketing,84265.57650477519,0,Decline
Software Engineer,Retail,Medium,New York,Medium,Low,Marketing,96165.21681124983,0,Decline
HR Manager,Transportation,Small,London,Medium,High,Communication,46867.98606734424,0,Growth
Software Engineer,Retail,Medium,Sydney,Low,Low,Communication,95686.48899038463,0,Stable
HR Manager,Education,Small,Paris,Medium,High,JavaScript,94356.63759,1,Stable
Cybersecurity Analyst,Entertainment,Large,London,Medium,Low,Cybersecurity,79802.82924471433,0,Stable
Data Scientist,Tech0logy,Large,Dubai,Medium,High,Sales,48518.48080470421,0,Decline
UX Designer,Manufacturing,Small,Paris,Low,Medium,JavaScript,85743.83477,0,Growth
AI Researcher,Transportation,Large,San Francisco,High,High,JavaScript,89252.52280402774,0,Decline
UX Designer,Tech0logy,Medium,Singapore,Medium,Low,Data Analysis,82655.42019,1,Stable
UX Designer,Retail,Small,London,Low,Medium,Data Analysis,53276.51071135004,1,Stable
UX Designer,Education,Large,Tokyo,Low,High,JavaScript,121894.68014633832,0,Growth
Software Engineer,Healthcare,Small,Paris,High,High,Machine Learning,77222.76944111254,1,Decline
HR Manager,Telecommunications,Medium,Dubai,Medium,High,Cybersecurity,85555.90674154198,1,Stable
Operations Manager,Manufacturing,Medium,San Francisco,Medium,High,Sales,41810.51357563419,0,Growth
Cybersecurity Analyst,Telecommunications,Large,Sydney,High,High,JavaScript,121897.10697396414,0,Decline
Marketing Specialist,Tech0logy,Medium,Tokyo,High,Medium,Marketing,80669.00136531888,0,Decline
UX Designer,Education,Small,Paris,Low,Medium,Cybersecurity,91969.25634148406,0,Stable
Sales Manager,Education,Medium,Singapore,Low,Medium,Data Analysis,112414.74889633303,0,Stable
Software Engineer,Retail,Small,Tokyo,High,Medium,Marketing,76473.91590566748,1,Decline
AI Researcher,Energy,Small,San Francisco,Medium,Low,Data Analysis,109264.89974773089,0,Decline
Marketing Specialist,Retail,Medium,Tokyo,Low,Medium,Data Analysis,48773.49088117717,0,Stable
Operations Manager,Energy,Large,Berlin,Low,High,Cybersecurity,101019.73315142626,0,Decline
Sales Manager,Energy,Medium,Toronto,Medium,High,Data Analysis,121444.84333039305,1,Stable
Operations Manager,Manufacturing,Small,Sydney,Low,Medium,UX/UI Design,78391.66305563941,0,Decline
Marketing Specialist,Retail,Small,San Francisco,Medium,High,Python,112377.63240596798,0,Stable
UX Designer,Healthcare,Medium,Tokyo,Medium,Medium,UX/UI Design,126678.45304387566,0,Growth
Sales Manager,Finance,Large,Toronto,Medium,High,Python,84903.16323891962,1,Stable
Operations Manager,Finance,Large,Toronto,High,Low,Communication,83249.43428300279,0,Stable
AI Researcher,Retail,Small,Tokyo,High,Low,Communication,72034.12508335392,0,Growth
HR Manager,Retail,Small,Singapore,High,Medium,Data Analysis,79805.39689629733,0,Decline
Data Scientist,Telecommunications,Large,Berlin,Medium,Medium,Sales,73692.80219454759,1,Growth
HR Manager,Manufacturing,Medium,London,Medium,Medium,Sales,72017.77803145545,0,Stable
Marketing Specialist,Retail,Small,Berlin,High,High,Python,113976.70593422712,0,Decline
Software Engineer,Telecommunications,Small,Tokyo,Low,Medium,Marketing,74201.47949423481,0,Growth
Data Scientist,Energy,Large,Sydney,Medium,Low,Cybersecurity,95170.43829439246,1,Decline
Cybersecurity Analyst,Education,Medium,London,Low,High,Data Analysis,90764.66870432475,0,Decline
AI Researcher,Education,Large,San Francisco,Low,Medium,Cybersecurity,119961.89125142245,0,Growth
Cybersecurity Analyst,Energy,Medium,Berlin,Medium,High,UX/UI Design,79936.87535889974,0,Decline
Sales Manager,Transportation,Medium,Tokyo,Medium,High,Sales,97622.96093308645,1,Growth
Data Scientist,Telecommunications,Medium,Berlin,Low,Medium,Machine Learning,105821.39404552219,1,Stable
Cybersecurity Analyst,Telecommunications,Small,London,Low,High,UX/UI Design,119794.99214641162,0,Decline
Cybersecurity Analyst,Energy,Large,Dubai,High,Low,UX/UI Design,79644.93309909466,1,Stable
Operations Manager,Healthcare,Large,Paris,High,Low,Python,77642.15063,1,Stable
HR Manager,Entertainment,Medium,Berlin,Medium,High,Project Management,68764.37892079895,1,Decline
